mentioned_lag1,mean_ret,median_ret,std_ret,n_weeks
No mention prior week,-0.013189336218638981,-0.0211402432105187,0.19464422709313384,31542
Mention prior week,-0.01910790533849508,-0.0408566639325461,0.4956355680696744,2324
