mentioned,mean_ret,median_ret,std_ret,n_weeks
Not mentioned,-0.021284486093948462,-0.024390701857795252,0.14317884799961464,32488
Mentioned,0.060038943344317856,-0.0119685639312352,0.6733691976847223,2464
