date,ticker,permno,weekly_ret,weekly_mentions,benchmark_ret,abnormal_ret,group,mean_sentiment_value,mean_weekly_confidence,post_count
2024-01-05,AGRX,14645,-0.199999803024508,0,-0.031043999127430055,-0.16895580389707796,bottom25,-0.048681728541851,0.785982628663381,16
2024-01-05,KIND,20832,-0.100529478015,0,-0.031043999127430055,-0.06948547888756995,no_mentions,0.0,0.9214177131652832,1
2024-01-05,ICU,20841,0.1791279906764851,0,-0.031043999127430055,0.21017198980391516,top25,0.0386100014050801,0.7504373702813278,57
2024-01-05,SLS,92594,-0.458490215429,0,-0.031043999127430055,-0.4274462163015699,top25,0.0164121973514556,0.7630125386126311,75
2024-01-05,TRVI,18677,-0.0149257699720313,0,-0.031043999127430055,0.016118229155398754,bottom25,0.0,0.7335054278373718,1
2024-01-05,PEGY,25452,-0.0211150443639062,0,-0.031043999127430055,0.009928954763523856,top25,0.1498747439611525,0.7706182113400213,21
2024-01-05,ISUN,16012,-0.2653258450925405,0,-0.031043999127430055,-0.23428184596511042,bottom25,-0.0249491780996322,0.840808629989624,4
2024-01-05,TSHA,19847,0.0056501871818059,0,-0.031043999127430055,0.03669418630923595,bottom25,0.2056482583284378,0.8889280706644058,4
2024-01-05,OPTT,91964,0.001582486181318,0,-0.031043999127430055,0.03262648530874806,top25,0.1287945934704371,0.7510500413464409,91
2024-01-05,JAGX,15375,-0.0752968655276143,0,-0.031043999127430055,-0.04425286640018425,top25,0.1333366529186173,0.7686682644571577,101
2024-01-05,EVA,15313,-0.2049616545563272,0,-0.031043999127430055,-0.17391765542889714,top25,-0.0227448230280595,0.7378388416737017,34
2024-01-05,KNW,23375,0.02200394013007,0,-0.031043999127430055,0.05304793925750005,bottom25,0.0,0.8672199249267578,2
2024-01-05,CRKN,20422,-0.0786443684732669,0,-0.031043999127430055,-0.04760036934583685,top25,0.1435161645595844,0.7787530022008078,26
2024-01-05,GWAV,23227,0.0991151955913591,0,-0.031043999127430055,0.13015919471878917,top25,0.1609328168409842,0.8094264196852843,27
2024-01-05,CTM,23466,-0.0382554685469892,0,-0.031043999127430055,-0.0072114694195591425,top25,0.2135153749050238,0.7846241203839319,39
2024-01-05,ARAV,14555,-0.0218271885180993,0,-0.031043999127430055,0.009216810609330755,bottom25,0.0,0.7952096462249756,5
2024-01-05,FFIE,19649,-0.3109571644980136,0,-0.031043999127430055,-0.2799131653705835,top25,0.0899232091272578,0.7705921131306771,68
2024-01-05,VIRI,20331,-0.0626087196356561,0,-0.031043999127430055,-0.03156472050822605,bottom25,0.0,0.7335054278373718,4
2024-01-05,AMWL,19657,-0.2013429845702858,0,-0.031043999127430055,-0.17029898544285574,no_mentions,0.0,0.7645812630653381,1
2024-01-05,OCEA,22272,-0.0231810310449862,0,-0.031043999127430055,0.007862968082443855,top25,0.0766646223408835,0.7966531343758105,21
2024-01-05,VLD,20402,-0.1333002261583536,0,-0.031043999127430055,-0.10225622703092355,top25,0.2055909425020217,0.802840090426458,20
2024-01-05,RXT,19576,-0.105000461842149,0,-0.031043999127430055,-0.07395646271471895,no_mentions,0.6607410162687302,0.6607410162687302,2
2024-01-05,AKTS,16625,-0.0823735235826477,0,-0.031043999127430055,-0.05132952445521764,top25,0.071295736403,0.7803414610575656,82
2024-01-05,VEEE,21782,-0.0211271585440883,0,-0.031043999127430055,0.009916840583341757,bottom25,0.0,0.8321548998355865,2
2024-01-05,PRSO,89029,-0.155937,0,-0.031043999127430055,-0.12489300087256994,top25,0.6040126487612725,0.8033468700372256,40
2024-01-05,BKSY,19114,-0.0857140956812642,0,-0.031043999127430055,-0.05467009655383415,no_mentions,0.0,0.7335054278373718,1
2024-01-05,AMPE,12789,-0.1442304497670563,1,-0.031043999127430055,-0.11318645063962623,bottom25,0.074481249816956,0.7488030437628429,31
2024-01-05,JNVR,24072,0.038834532127608,0,-0.031043999127430055,0.06987853125503805,bottom25,0.911391019821167,0.911391019821167,1
2024-01-05,ALPP,22179,-0.1034004329563906,0,-0.031043999127430055,-0.07235643382896055,bottom25,0.0420029683220655,0.7845357677927319,133
2024-01-05,APDN,15057,0.0059163807624298,0,-0.031043999127430055,0.036960379889859854,bottom25,0.1202238901801731,0.7749730795621872,23
2024-01-05,LVO,17323,-0.0719420367769918,0,-0.031043999127430055,-0.04089803764956175,top25,0.3012835515869988,0.7764145247141521,27
2024-01-05,VRME,19494,-0.0357145835046055,0,-0.031043999127430055,-0.004670584377175442,bottom25,0.088700121641159,0.7965063452720642,10
2024-01-05,OCGN,15132,0.1634781613331855,0,-0.031043999127430055,0.19452216046061555,top25,0.0871669091284275,0.7387710852925438,176
2024-01-05,KULR,21412,0.0432423327061892,0,-0.031043999127430055,0.07428633183361925,top25,0.2075814164820171,0.7495197614701385,126
2024-01-05,TNXP,14107,-0.0784125048890901,0,-0.031043999127430055,-0.047368505761660046,top25,0.054244475869032,0.7868462957500635,208
2024-01-05,EAF,17672,-0.0386476048231395,0,-0.031043999127430055,-0.007603605695709448,no_mentions,-0.902265727519989,0.902265727519989,1
2024-01-05,TTNP,82848,0.0295763233058121,0,-0.031043999127430055,0.060620322433242155,bottom25,-0.001233571767807,0.7923904378567973,60
2024-01-05,RNXT,21875,-0.2445419638108261,0,-0.031043999127430055,-0.21349796468339605,top25,0.1431572866994281,0.7478501488242233,43
2024-01-05,AEVA,19224,0.4781579547753314,0,-0.031043999127430055,0.5092019539027615,no_mentions,0.0,0.7335054278373718,1
2024-01-05,IOBT,22312,0.0425525111404982,0,-0.031043999127430055,0.07359651026792825,bottom25,0.0,0.945495903491974,1
2024-01-05,LODE,12840,-0.0875911835101982,0,-0.031043999127430055,-0.05654718438276815,top25,0.116394129594167,0.820498247198364,75
2024-01-05,LAB,12577,-0.083333672864,0,-0.031043999127430055,-0.05228967373656994,no_mentions,0.0,0.9035069942474364,1
2024-01-05,RCAT,21090,-0.0184090948250827,0,-0.031043999127430055,0.012634904302347354,top25,0.3392883663376172,0.7762083062330882,48
2024-01-05,FGEN,15065,-0.1537852862361798,0,-0.031043999127430055,-0.12274128710874974,top25,0.3289049258737853,0.7966941767930984,33
2024-01-05,SLQT,19357,-0.11678880549351,0,-0.031043999127430055,-0.08574480636607995,no_mentions,0.0,0.8107834756374359,2
2024-01-05,KORE,22132,0.1732295960549694,0,-0.031043999127430055,0.20427359518239946,bottom25,0.946811854839325,0.946811854839325,1
2024-01-05,HYLN,18539,0.0110601824903013,0,-0.031043999127430055,0.04210418161773136,no_mentions,0.1047413945198059,0.7635716795921326,6
2024-01-12,RCAT,21090,-0.0900657808278926,0,-0.002416313352796684,-0.08764946747509592,top25,0.3392883663376172,0.7762083062330882,48
2024-01-12,CTM,23466,-0.0143058420382636,0,-0.002416313352796684,-0.011889528685466916,top25,0.2135153749050238,0.7846241203839319,39
2024-01-12,RNXT,21875,-0.3641623249075441,0,-0.002416313352796684,-0.3617460115547474,top25,0.1431572866994281,0.7478501488242233,43
2024-01-12,PEGY,25452,-0.0336494352141184,0,-0.002416313352796684,-0.031233121861321718,top25,0.1498747439611525,0.7706182113400213,21
2024-01-12,IHRT,18845,-0.124444,0,-0.002416313352796684,-0.12202768664720332,no_mentions,0.6067202091217041,0.6067202091217041,1
