date,long_ret,short_ret,Dummy,long_n_stocks,short_n_stocks,ls_ret,benchmark_ret,ls_abnormal_ret,long_abnormal_ret,short_abnormal_ret,lag_ls_abnormal_ret,lead_ls_abnormal_ret,weekly_sentiment
2024-01-05,-0.07957493026095167,-0.04910428883265847,0,22,12,-0.030470641428293192,-0.03104406695781281,0.0005734255295196181,-0.048530863303138855,-0.018060221874845662,,-0.05509093083841943,
2024-01-12,-0.05440958936804321,0.0030975849887448868,1,21,13,-0.05750717435678809,-0.002416243518368666,-0.05509093083841943,-0.05199334584967454,0.005513828507113553,0.0005734255295196181,0.0483356928501775,0.10874829973493304
2024-01-19,-0.028389492179327503,-0.06533201534553391,1,21,11,0.036942523166206415,-0.011393169683971083,0.0483356928501775,-0.01699632249535642,-0.05393884566156283,-0.05509093083841943,0.00295664384150884,0.04540107250213625
2024-01-26,0.05066551048885898,0.020939413541149313,1,21,11,0.029726096947709665,0.026769453106200825,0.00295664384150884,0.023896057382658153,-0.005830039565051511,0.0483356928501775,0.08213517567970612,-0.04638551341162786
2024-02-02,0.022748177011365934,-0.04710237790052851,1,22,11,0.06985055491189444,-0.012284620767811671,0.08213517567970612,0.0350327977791776,-0.034817757132716835,0.00295664384150884,-0.17496747024512546,-0.02254010098321097
2024-02-09,-0.04892709827857953,0.09955498865251043,1,23,11,-0.14848208693108997,0.026485383314035493,-0.17496747024512546,-0.07541248159261502,0.07306960533847494,0.08213517567970612,-0.14137120796915678,-0.13590785435267858
2024-02-16,0.014179816198004791,0.13297437861425096,1,23,11,-0.11879456241624617,0.022576645552910612,-0.14137120796915678,-0.008396829354905821,0.11039773306134035,-0.17496747024512546,0.10423022216993302,0.15127175052960715
2024-02-23,0.01419286582896636,-0.07170989749236567,1,24,13,0.08590276332133204,-0.018327458848600986,0.10423022216993302,0.032520324677567346,-0.053382438643764685,-0.14137120796915678,-0.051777058238187824,0.06667579595859234
2024-03-01,0.046702732820180726,0.057840693727683835,1,23,11,-0.01113796090750311,0.040639097330684715,-0.051777058238187824,0.006063635489496011,0.01720159639699912,0.10423022216993302,0.04299877080275903,0.1598662417382002
2024-03-08,0.04338574856842717,0.007896981193102157,1,22,12,0.03548876737532501,-0.00751000342743402,0.04299877080275903,0.05089575199586119,0.015406984620536177,-0.051777058238187824,0.03377360471182547,0.13880550009863718
2024-03-15,-0.10108934353986862,-0.11182606448336951,1,23,11,0.010736720943500894,-0.02303688376832458,0.03377360471182547,-0.07805245977154404,-0.08878918071504494,0.04299877080275903,0.058869059141161376,0.17533565085867178
2024-03-22,0.03715031447743162,-0.040671356134117494,1,21,11,0.07782167061154911,0.018952611470387737,0.058869059141161376,0.018197703007043882,-0.05962396760450523,0.03377360471182547,-0.043567152199279265,0.1743158187185015
2024-03-29,0.009795607744284642,0.02763284523296009,1,21,11,-0.017837237488675446,0.02572991471060382,-0.043567152199279265,-0.015934306966319176,0.00190293052235627,0.058869059141161376,0.053442978817316314,0.1960549235343933
2024-04-05,-0.007102972936445714,-0.032985960446185,1,22,10,0.025882987509739285,-0.027559991307577025,0.053442978817316314,0.02045701837113131,-0.005425969138607975,-0.043567152199279265,0.04235275305655404,0.09307311562930837
2024-04-12,-0.04243167732466293,-0.05525527587240442,1,22,10,0.01282359854774149,-0.02952915450881255,0.04235275305655404,-0.01290252281585038,-0.02572612136359187,0.053442978817316314,0.03541292373797765,0.14837880432605743
2024-04-19,-0.059451323974960384,-0.05849115836923483,1,24,13,-0.000960165605725552,-0.0363730893437032,0.03541292373797765,-0.02307823463125718,-0.02211806902553163,0.04235275305655404,-0.0035091238661682685,0.21683663874864578
2024-04-26,0.03703138301572515,0.01858246199182961,1,24,12,0.018448921023895542,0.02195804489006381,-0.0035091238661682685,0.015073338125661341,-0.003375582898234201,0.03541292373797765,-0.12105215780338592,0.1245450046327379
